
running 1 test
Testing lock-free map
Insert heavy
25165824 operations across 128 thread(s) in 1.528732999s; time/op = 60ns
Read heavy
25165824 operations across 1 thread(s) in 21.72390343s; time/op = 862ns
25165824 operations across 2 thread(s) in 11.706312303s; time/op = 465ns
25165824 operations across 3 thread(s) in 8.070290035s; time/op = 319ns
25165824 operations across 4 thread(s) in 5.967058978s; time/op = 236ns
25165824 operations across 5 thread(s) in 4.992647832s; time/op = 197ns
25165824 operations across 6 thread(s) in 4.277206669s; time/op = 169ns
25165824 operations across 7 thread(s) in 3.631780821s; time/op = 144ns
25165824 operations across 8 thread(s) in 3.313723986s; time/op = 131ns
25165824 operations across 9 thread(s) in 3.023476066s; time/op = 119ns
25165824 operations across 10 thread(s) in 2.749088906s; time/op = 108ns
25165824 operations across 11 thread(s) in 2.529443873s; time/op = 100ns
25165824 operations across 12 thread(s) in 2.171045355s; time/op = 85ns
25165824 operations across 13 thread(s) in 2.289020835s; time/op = 90ns
25165824 operations across 14 thread(s) in 2.022946271s; time/op = 79ns
25165824 operations across 15 thread(s) in 1.919777313s; time/op = 75ns
25165824 operations across 16 thread(s) in 1.923947386s; time/op = 75ns
25165824 operations across 17 thread(s) in 1.685326878s; time/op = 66ns
25165824 operations across 18 thread(s) in 1.590528638s; time/op = 62ns
25165824 operations across 19 thread(s) in 1.512268545s; time/op = 59ns
25165824 operations across 20 thread(s) in 1.582539122s; time/op = 62ns
25165824 operations across 21 thread(s) in 1.359420592s; time/op = 53ns
25165824 operations across 22 thread(s) in 1.374574032s; time/op = 53ns
25165824 operations across 23 thread(s) in 1.362162035s; time/op = 53ns
25165824 operations across 24 thread(s) in 1.28870347s; time/op = 50ns
25165824 operations across 25 thread(s) in 1.198660701s; time/op = 46ns
25165824 operations across 26 thread(s) in 1.222635558s; time/op = 47ns
25165824 operations across 27 thread(s) in 1.211845047s; time/op = 47ns
25165824 operations across 28 thread(s) in 1.166234724s; time/op = 45ns
25165824 operations across 29 thread(s) in 1.111622492s; time/op = 43ns
25165824 operations across 30 thread(s) in 1.073927724s; time/op = 41ns
25165824 operations across 31 thread(s) in 1.051296626s; time/op = 41ns
25165824 operations across 32 thread(s) in 1.054056545s; time/op = 41ns
25165824 operations across 33 thread(s) in 1.025087283s; time/op = 39ns
25165824 operations across 34 thread(s) in 1.025028452s; time/op = 39ns
25165824 operations across 35 thread(s) in 1.063060016s; time/op = 41ns
25165824 operations across 36 thread(s) in 1.013924077s; time/op = 39ns
25165824 operations across 37 thread(s) in 987.508104ms; time/op = 39ns
25165824 operations across 38 thread(s) in 967.100992ms; time/op = 38ns
25165824 operations across 39 thread(s) in 968.305137ms; time/op = 38ns
25165824 operations across 40 thread(s) in 902.923474ms; time/op = 35ns
25165824 operations across 41 thread(s) in 888.456081ms; time/op = 35ns
25165824 operations across 42 thread(s) in 897.220312ms; time/op = 35ns
25165824 operations across 43 thread(s) in 888.201259ms; time/op = 35ns
25165824 operations across 44 thread(s) in 876.367596ms; time/op = 34ns
25165824 operations across 45 thread(s) in 839.050402ms; time/op = 33ns
25165824 operations across 46 thread(s) in 867.479722ms; time/op = 34ns
25165824 operations across 47 thread(s) in 889.853403ms; time/op = 35ns
25165824 operations across 48 thread(s) in 827.900892ms; time/op = 32ns
25165824 operations across 49 thread(s) in 823.563701ms; time/op = 32ns
25165824 operations across 50 thread(s) in 832.177738ms; time/op = 33ns
25165824 operations across 51 thread(s) in 790.078883ms; time/op = 31ns
25165824 operations across 52 thread(s) in 781.798479ms; time/op = 31ns
25165824 operations across 53 thread(s) in 773.20407ms; time/op = 30ns
25165824 operations across 54 thread(s) in 761.370726ms; time/op = 30ns
25165824 operations across 55 thread(s) in 767.455982ms; time/op = 30ns
